;Наименование агента;Тип агента;Юридический адрес;ИНН;КПП;Директор;Телефон агента;Электронная почта агента;Логотип агента;Приоритет
1;СервисПив;1;840377, Рязанская область, город Щёлково, пл. Бухарестская, 42;6861024038;218034630;Никита Александрович Королёв;+7 (922) 325-12-93;znosov@vasilev.ru;;329
2;СантехСеверЛенМашина;2;606990, Новосибирская область, город Павловский Посад, въезд Домодедовская, 38;3506691089;830713603;Павел Максимович Рожков;(812) 214-73-94;pgorbacev@vasilev.net;\agents\agent_99.png;201
3;ЭлектроРемОрионЛизинг;3;594365, Ярославская область, город Павловский Посад, бульвар Космонавтов, 64;1340072597;500478249;Тарасова Дан Львович;(495) 513-93-16;anfisa.fedotova@tvetkov.ru;\agents\agent_93.png;198
4;РыбАлмазГаражСнаб;3;278792, Воронежская область, город Люберцы, ул. Космонавтов, 07;2135119617;916748563;Власов Ян Львович;(35222) 46-54-74;diana.gorbunov@gromov.ru;\agents\agent_29.png;50
5;CибБашкирТекстиль;4;429540, Мурманская область, город Воскресенск, пл. Славы, 36;7392007090;576103661;Григорий Владимирович Елисеева;(35222) 92-28-68;vzimina@zdanova.com;\agents\agent_94.png;218
6;ЮпитерТяжОрионЭкспедиция;5;960726, Томская область, город Орехово-Зуево, въезд 1905 года, 51;6843174002;935556458;Валерий Евгеньевич Виноградов;(812) 819-51-58;gblokin@orlov.net;\agents\agent_69.png;446
7;КазаньТекстиль;5;231891, Челябинская область, город Шатура, бульвар Ладыгина, 40;4584384019;149680499;Александров Бронислав Максимович;+7 (922) 936-37-67;osimonova@andreeva.com;\agents\agent_72.png;156
8;МясИнфоМясТраст;5;873144, Курская область, город Талдом, проезд Домодедовская, 46;6387079446;113956342;Лихачёваа Оксана Романовна;(812) 375-59-29;dgulyev@krasilnikov.ru;\agents\agent_43.png;16
9;АвтоТомскЦементЦентр;4;282009, Вологодская область, город Красногорск, пл. Домодедовская, 14;8317739640;940326934;Леонид Иванович Афанасьева;(35222) 24-98-18;kabanov.valentina@subbotina.ru;\agents\agent_40.png;71
10;Радио;6;798718, Ленинградская область, город Пушкино, бульвар Балканская, 37;9077613654;657690787;Эмма Андреевна Колесникова;(35222) 84-44-92;rtretykova@kozlov.ru;\agents\agent_68.png;221
11;ДизайнФинансМикро;5;775051, Иркутская область, город Серебряные Пруды, спуск Домодедовская, 41;2700182907;141912770;Кузьма Борисович Королёва;(495) 223-67-97;varvara15@belousov.ru;;462
12;Креп;3;336489, Калининградская область, город Можайск, наб. Славы, 35;4880732317;258673591;Назар Алексеевич Григорьева;(495) 315-25-86;savina.dominika@belousova.com;\agents\agent_64.png;371
13;ЖелДорДизайнМетизТраст;6;170549, Сахалинская область, город Видное, проезд Космонавтов, 89;7669116841;906390137;Игорь Львович Агафонова;8-800-692-72-18;lnikitina@kulikova.com;;290
14;Асбоцемент;2;030119, Курганская область, город Дмитров, пер. Славы, 47;1261407459;745921890;Никитинаа Антонина Андреевна;(812) 152-28-78;antonin19@panfilov.ru;\agents\agent_59.png;273
15;Мобайл;6;273144, Калужская область, город Наро-Фоминск, бульвар Чехова, 70;3655195522;395816585;Горшков Кузьма Фёдорович;(495) 532-54-42;rafail22@orlov.ru;\agents\agent_53.png;40
16;ТекстильУралАвтоОпт;3;028936, Магаданская область, город Видное, ул. Гагарина, 54;3930950057;678529397;Алина Сергеевна Дьячковаа;(495) 418-67-55;hkononova@pavlova.ru;\agents\agent_97.png;176
17;Башкир;1;513065, Рязанская область, город Одинцово, шоссе Славы, 93;3105334340;117513650;Одинцова Розалина Дмитриевна;8-800-656-63-99;iskra.sergeev@zykov.com;\agents\agent_33.png;35
18;ГорДор;4;376483, Калужская область, город Сергиев Посад, ул. Славы, 09;7088187045;440309946;Нонна Львовна Одинцоваа;(812) 364-46-64;maiy12@koklov.net;\agents\agent_77.png;175
19;Компания Рос;2;479740, Оренбургская область, город Наро-Фоминск, наб. Будапештсткая, 36;5502989807;518320454;Алёна Ивановна Тимофеева;(35222) 32-99-94;odenisov@knyzeva.ru;;252
20;КазЮпитерТомск;5;393450, Тульская область, город Кашира, пр. 1905 года, 47;9201745524;510248846;Рафаил Андреевич Копылов;(35222) 24-85-54;tgavrilov@frolov.ru;\agents\agent_85.png;244
21;СеверГаз;6;509479, Орловская область, город Павловский Посад, спуск Бухарестская, 28;7908427926;249521550;Валериан Андреевич Кириллова;(812) 973-88-81;smukina@evseev.com;\agents\agent_15.png;83
22;Компания КазАлмаз;2;848810, Кемеровская область, город Лотошино, пер. Ломоносова, 90;3084797352;123190924;Марк Фёдорович Муравьёва;+7 (922) 692-21-57;irina.gusina@vlasova.ru;\agents\agent_105.png;396
23;ЦементАсбоцементОрионТраст;5;221534, Орловская область, город Серебряные Пруды, проезд Гагарина, 54;2972154471;668972219;Павлова Марк Александрович;(495) 979-36-66;igulyeva@kostina.ru;\agents\agent_28.png;441
24;Компания Электро;2;183744, Рязанская область, город Клин, въезд Косиора, 29;4335399269;780051451;Кабанов Кирилл Максимович;(35222) 63-92-83;blokin.sofiy@terentev.ru;\agents\agent_41.png;340
